iter	Passed	Remaining
0	49	246529
1	50	126313
2	52	87411
3	54	67692
4	56	56178
5	56	47378
6	58	41686
7	60	37831
8	61	34165
9	64	32058
10	66	30329
11	70	29275
12	73	28059
13	75	26909
14	77	25866
15	78	24437
16	80	23729
17	82	22749
18	84	22265
19	87	21837
20	88	20925
21	88	20109
22	91	19863
23	94	19651
24	97	19421
25	100	19178
26	103	19019
27	105	18801
28	108	18594
29	111	18429
30	114	18301
31	116	18151
32	119	18026
33	122	17870
34	125	17774
35	128	17651
36	130	17511
37	133	17398
38	135	17277
39	138	17205
40	141	17101
41	144	17015
42	146	16931
43	149	16842
44	152	16772
45	156	16840
46	160	16909
47	164	16955
48	166	16849
49	169	16807
50	172	16764
51	175	16721
52	178	16672
53	181	16609
54	183	16538
55	186	16472
56	189	16424
57	192	16409
58	195	16401
59	198	16370
60	202	16435
61	207	16490
62	210	16466
63	213	16431
64	216	16404
65	218	16351
66	221	16324
67	224	16260
68	226	16220
69	229	16183
70	232	16151
71	235	16121
72	238	16063
73	240	16026
74	243	15991
75	246	15954
76	248	15911
77	251	15875
78	254	15827
79	256	15774
80	259	15740
81	261	15698
82	264	15656
83	266	15615
84	269	15576
85	272	15544
86	274	15527
87	277	15487
88	280	15467
89	280	15324
90	283	15289
91	287	15350
92	290	15327
93	293	15299
94	295	15276
95	298	15243
96	301	15254
97	304	15228
98	305	15122
99	308	15130
100	311	15117
101	312	15024
102	315	15005
103	318	14983
104	321	14966
105	323	14946
106	326	14938
107	328	14857
108	330	14838
109	332	14781
110	335	14762
111	337	14748
112	339	14672
113	342	14670
114	345	14662
115	348	14652
116	351	14654
117	353	14645
118	357	14649
119	360	14641
120	363	14643
121	366	14663
122	369	14645
123	372	14633
